TreeNumber,UTM_X,UTM_Y,Grid_X,Grid_Y,Species,D.A.,DBH_cm,Height_m,CBH_m
113,1019265.546,4334835.077,190.6,30.2,PIEN,,1.27,1.5,0.5
133,1019271.789,4334838.211,197,33,PIEN,,1.27,1.5,0.5
57,1019177.509,4334839.202,102.9,38.1,PIEN,,1.27,1.5,0.5
76,1019363.242,4335208.933,304,399.7,PIEN,,1.27,1.5,0.5
46,1019466.454,4335198.082,406.5,384.5,PIEN,,1.27,1.5,0.5
13,1019186.314,4334903.152,114.2,101.5,PIEN,,1.27,1.5,0.5
23,1019185.42,4334903.005,113.3,101.4,PIEN,,1.27,1.5,0.5
53,1019129.252,4334918.011,58,118.7,PIEN,,1.27,1.5,0.5
3,1019459.038,4335175.177,398.1,361.8,PIEN,,1.27,1.5,0.4
58,1019442.613,4335175.209,381.7,362.7,PIEN,,1.27,1.5,0.4
4,1019097.757,4335186.824,37.7,388.6,PIEN,,1.27,1.5,0.4
51,1019194.094,4334863.292,120.3,61.5,PIEN,,1.27,1.5,0.4
23,1019202.691,4334921.025,131.5,118.7,PIEN,,1.27,1.5,0.4
68,1019363.134,4334816.619,287.3,7.7,PIEN,,1.27,1.5,0.3
14,1019453.766,4335174.497,392.8,361.4,PIEN,,1.27,1.5,0.3
39,1019256.777,4334824.799,181.3,20.4,PIEN,,1.27,1.5,0.3
53,1019464.378,4335197.572,404.4,384.1,PIEN,,1.27,1.5,0.3
55,1019280.248,4334891.31,207.6,85.8,PIEN,,1.27,1.5,0.3
28,1019176.663,4334899.738,104.6,98.6,PIEN,,1.27,1.5,0.3
44,1019182.734,4334904.565,110.7,103.1,PIEN,,1.27,1.5,0.3
104,1019188.506,4334918.49,117.2,116.7,PIEN,,1.27,1.5,0.3
34,1019133.716,4334913.123,62.2,113.8,PIEN,,1.27,1.5,0.3
26,1019107.385,4334938.001,37,139.6,PIEN,,1.27,1.5,0.3
38,1019178.113,4334945.276,107.8,144,PIEN,,1.27,1.5,0.3
51,1019378.721,4334821.032,303.1,11.5,PIEN,,1.27,1.5,0.2
12,1019254.726,4334817.8,179.1,13.3,PIEN,,1.27,1.5,0.2
30,1019470.667,4335143.933,408.5,330.2,PIEN,,1.27,1.5,0.2
7,1019339.659,4335183.087,279.3,374.7,PIEN,,1.27,1.5,0.2
32,1019468.973,4335211.033,409.7,397.3,PIEN,,1.27,1.5,0.2
9,1019138.831,4335211.391,79.8,411.4,PIEN,,1.27,1.5,0.2
15,1019228.403,4334871.598,155,68.2,PIEN,,1.27,1.5,0.2
36,1019266.893,4334890.121,194.2,85.1,PIEN,,1.27,1.5,0.2
113,1019262.091,4334899.481,189.9,94.7,PIEN,,1.27,1.5,0.2
33,1019207.97,4334915.896,136.5,113.3,PIEN,,1.27,1.5,0.2
52,1019182.913,4334904.975,110.9,103.5,PIEN,,1.27,1.5,0.2
62,1019188.247,4334906.359,116.3,104.6,PIEN,,1.27,1.5,0.2
31,1019133.076,4334911.987,61.5,112.7,PIEN,,1.27,1.5,0.2
62,1019183.54,4334950.57,113.5,149,PIEN,,1.27,1.5,0.2
18,1019125.393,4334942.439,55,143.3,PIEN,,1.27,1.5,0.2
40,1019289.984,4335175.688,229.3,369.5,PIEN,,1.27,1.5,0.1
24,1019465.652,4335180.716,405,367.2,PIEN,,1.27,1.5,0.1
54,1019292.852,4335205.079,233.5,398.7,PIEN,,1.27,1.5,0.1
35,1019365.957,4334864.233,292.2,55.1,PIEN,,1.27,1.5,0.1
33,1019317.284,4334870.404,243.7,63.4,PIEN,,1.27,1.5,0.1
53,1019269.005,4334882.023,196.1,76.9,PIEN,,1.27,1.5,0.1
148,1019264.587,4334901.515,192.5,96.6,PIEN,,1.27,1.5,0.1
36,1019207.713,4334886.343,134.9,83.8,PIEN,,1.27,1.5,0.1
16,1019185.909,4334903.231,113.8,101.6,PIEN,,1.27,1.5,0.1
27,1019170.358,4334920.852,99.2,119.8,PIEN,,1.27,1.5,0.1
9,1019138.013,4334903.837,66,104.3,PIEN,,1.27,1.5,0.1
90,1019119.903,4334916.815,48.6,118,PIEN,,1.27,1.5,0.1
28,1019198.314,4334926.499,127.2,124.4,PIEN,,1.27,1.5,0.1
32,1019077.783,4334924.034,6.7,127,PIEN,,1.27,1.5,0.1
96,1019182.466,4334957.623,112.8,156.1,PIEN,,1.27,1.5,0.1
66,1019363.623,4334816.845,287.8,7.9,PIEN,,1.27,1.5,0
65,1019441.704,4335175.361,380.8,362.9,PIEN,,1.27,1.5,0
46,1019374.572,4334862.267,300.7,52.9,PIEN,,1.27,1.5,0
23,1019501.401,4334895.906,428.7,81.1,PIEN,,1.27,1.5,0
10,1019471.364,4334972.54,402.1,159,PIPO,,1.27,1.5,1
31,1019288.415,4334915.175,216.8,109.2,PIPO,,1.27,1.5,0.7
6,1019488.682,4335015.294,421,201,PIPO,,1.27,1.5,0.5
53,1019488.245,4335127.421,425.4,313,PIPO,,1.27,1.5,0.5
17,1019147.313,4335127.309,84.7,327.2,PIPO,,1.27,1.5,0.5
7,1019402.253,4334956.237,332.22,145.5,PIPO,,1.27,1.5,0.5
74,1019198.613,4334955.255,128.8,153.1,PIPO,,1.27,1.5,0.5
1,1019085.805,4334996.757,17.9,199.2,PIPO,,1.27,1.5,0.2
5,1019106.046,4335000.613,38.1,202.2,PIPO,,1.27,1.5,0.2
7,1019117.136,4334999.178,49.1,200.4,PIPO,,1.27,1.5,0.1
13,1019296.508,4335073.396,231.5,267,PIPO,,1.27,1.5,0
